id,beacon1,beacon2,beacon3,location
473,-999,-95,-44,3
474,-999,-90,-45,3
475,-999,-91,-45,3
476,-999,-95,-44,3
477,-999,-90,-46,3
478,-999,-999,-999,3
479,-999,-999,-47,3
480,-999,-90,-45,3
481,-999,-999,-47,3
482,-999,-96,-44,3
483,-999,-999,-45,3
484,-999,-90,-45,3
485,-999,-96,-44,3
486,-999,-999,-999,3
487,-999,-92,-44,3
488,-999,-90,-46,3
489,-999,-90,-45,3
490,-999,-96,-44,3
491,-999,-999,-46,3
492,-999,-999,-999,3
493,-999,-999,-47,3
494,-999,-92,-45,3
495,-999,-91,-45,3
496,-999,-999,-48,3
497,-999,-90,-45,3
498,-999,-94,-46,3
499,-999,-92,-46,3
500,-999,-999,-999,3
501,-999,-96,-45,3
502,-999,-999,-999,3
503,-999,-91,-47,3
504,-999,-91,-46,3
505,-999,-999,-999,3
506,-999,-91,-46,3
507,-999,-90,-45,3
508,-999,-94,-44,3
509,-999,-97,-44,3
510,-999,-999,-999,3
511,-78,-73,-93,2
512,-86,-59,-97,2
513,-87,-75,-92,2
514,-999,-999,-999,2
515,-91,-72,-94,2
516,-84,-74,-93,2
517,-86,-74,-92,2
518,-84,-73,-92,2
519,-83,-73,-101,2
520,-84,-73,-92,2
521,-999,-999,-999,2
522,-92,-71,-97,2
523,-85,-71,-90,2
524,-83,-73,-92,2
525,-91,-71,-999,2
526,-81,-74,-90,2
527,-82,-70,-999,2
528,-85,-74,-97,2
529,-999,-999,-999,2
530,-82,-72,-94,2
531,-84,-73,-92,2
532,-85,-73,-93,2
533,-81,-73,-96,2
534,-92,-73,-92,2
535,-999,-999,-999,2
536,-90,-70,-87,2
537,-94,-74,-90,2
538,-92,-70,-999,2
539,-91,-71,-999,2
540,-81,-72,-92,2
541,-88,-71,-999,2
542,-84,-75,-89,2
543,-82,-72,-999,2
544,-999,-999,-999,2
545,-82,-77,-90,2
546,-82,-73,-93,2
547,-90,-70,-98,2
548,-84,-74,-97,2
549,-90,-72,-97,2
550,-86,-73,-103,2
551,-80,-72,-93,2
552,-82,-71,-89,2
553,-82,-71,-92,2
554,-88,-71,-95,2
555,-88,-70,-97,2
556,-89,-73,-999,2
557,-999,-999,-999,2
558,-84,-71,-93,2
559,-83,-72,-89,2
560,-82,-71,-87,2
561,-87,-76,-93,2
562,-999,-999,-999,2
563,-86,-73,-92,2
564,-84,-73,-88,2
565,-84,-73,-94,2
566,-86,-73,-92,2
567,-82,-72,-999,2
568,-92,-71,-97,2
569,-90,-71,-999,2
570,-85,-72,-100,2
571,-85,-74,-100,2
572,-79,-72,-89,2
